CNPJ_CIA,DATA_INI,TICKER
17.193.806/0001-46,20/07/1977,BRGE3
17.193.806/0001-46,20/07/1977,BRGE5
17.193.806/0001-46,20/07/1977,BRGE6
17.193.806/0001-46,20/07/1977,BRGE7
17.193.806/0001-46,20/07/1977,BRGE8
61.022.042/0001-18,20/07/1977,CALI3
61.022.042/0001-18,20/07/1977,CALI4
71.476.527/0001-35,11/10/2007,TEND3
15.101.405/0001-93,20/07/1977,CORR3
15.101.405/0001-93,20/07/1977,CORR4
50.746.577/0001-15,26/10/2005,CSAN3
02.429.144/0001-93,18/05/2000,CPFE3
02.429.144/0001-93,18/05/2000,CPFE3
07.820.907/0001-46,16/04/2007,CRDE3
62.984.091/0001-02,09/02/2021,CSED3
08.902.291/0001-15,12/02/2021,CMIN3
01.896.779/0001-38,25/04/2006,CARD3
06.981.381/0001-13,24/08/2016,CTCA3
02.998.611/0001-04,14/07/1999,TRPL3
02.998.611/0001-04,14/07/1999,TRPL4
02.998.611/0001-04,14/07/1999,TRPL3
02.998.611/0001-04,14/07/1999,TRPL4
08.797.760/0001-83,17/09/2020,CURY3
10.760.260/0001-19,05/12/2013,CVCB3
10.760.260/0001-19,05/12/2013,CVCB3
73.178.600/0001-18,07/07/1994,CYRE3
12.108.897/0001-50,06/08/2020,DMVF3
08.170.849/0001-15,19/07/2021,DESK3
97.837.181/0001-47,10/09/2007,DXCO3
97.837.181/0001-47,10/09/2007,DXCO3
02.193.750/0001-52,20/11/1997,DEXP3
02.193.750/0001-52,20/11/1997,DEXP4
61.486.650/0001-83,05/11/2004,DASA3
61.486.650/0001-83,05/11/2004,DASA3
92.665.611/0001-77,20/07/1977,PNVL3
92.665.611/0001-77,20/07/1977,PNVL3
16.614.075/0001-00,29/02/2008,DIRR3
84.683.408/0001-03,26/12/1973,DOHL3
84.683.408/0001-03,26/12/1973,DOHL4
08.926.302/0001-05,17/09/2014,DMMO3
18.174.270/0001-84,12/05/2021,DOTZ3
03.303.999/0001-36,04/02/2000,DTCY3
03.303.999/0001-36,04/02/2000,DTCY4
03.303.999/0001-36,04/02/2000,DTCY3
03.303.999/0001-36,04/02/2000,DTCY4
04.149.454/0001-80,24/09/2003,ECOR3
03.983.431/0001-03,05/07/2005,ENBR3
03.983.431/0001-03,05/07/2005,ENBR3
82.643.537/0001-34,19/01/1950,EALT3
82.643.537/0001-34,19/01/1950,EALT4
02.328.280/0001-97,08/07/1998,EKTR3
02.328.280/0001-97,08/07/1998,EKTR4
01.104.937/0001-70,30/09/1996,LIPR3
09.347.516/0001-81,11/02/2021,ELMD3
02.302.101/0001-42,27/03/1998,EMAE3
02.302.101/0001-42,27/03/1998,EMAE4
42.331.462/0001-31,14/03/1996,EPAR3
07.689.002/0001-89,23/05/2006,EMBR3
01.971.614/0001-83,29/04/2022,ECPR3
01.971.614/0001-83,29/04/2022,ECPR4
06.626.253/0001-51,21/10/2011,PGMN3
11.669.021/0001-10,02/02/2011,ENAT3
03.467.321/0001-99,25/10/1994,ENMT3
03.467.321/0001-99,25/10/1994,ENMT4
00.864.214/0001-06,20/12/1995,ENGI11
00.864.214/0001-06,20/12/1995,ENGI3
00.864.214/0001-06,20/12/1995,ENGI4
04.423.567/0001-21,07/12/2007,ENEV3
02.474.103/0001-19,28/05/1998,EGIE3
02.474.103/0001-19,28/05/1998,EGIE3
02.474.103/0001-19,28/05/1998,EGIE3
16.922.038/0001-51,05/11/2020,ENJU3
03.220.438/0001-73,30/03/2006,EQTL3
06.272.793/0001-84,13/11/1997,EQMA3B
06.272.793/0001-84,13/11/1997,EQMA5B
04.895.728/0001-80,14/06/1999,EQPA3
04.895.728/0001-80,14/06/1999,EQPA5
04.895.728/0001-80,14/06/1999,EQPA6
04.895.728/0001-80,14/06/1999,EQPA7
61.092.037/0001-81,17/11/1970,ETER3
56.643.018/0001-66,20/08/1969,EUCA3
56.643.018/0001-66,20/08/1969,EUCA4
43.470.988/0001-65,02/03/2007,EVEN3
